shipment_id,date,is_import,product_category,O_Country,D_Country,region,value,freight_cost,freight_ratio,customs_clearance_time_days,month,quarter,avg_delay_hours,avg_fuel_price,avg_warehouse_util,avg_damage_claims,avg_lead_time_days,avg_satisfaction,avg_support_tickets,avg_order_value,avg_days_to_pay,target
SHP-2024-0001,2024-01-02,0,Electronics,India,USA,North America,85000,4250.0,0.05,2.1,1,1,2.451,82.748,78.0,5.72,12.544973544973544,4.28042328042328,0.3544973544973545,17865.079365079364,40.03703703703704,0
SHP-2024-0002,2024-01-03,1,Textiles,China,India,Asia-Pacific,120000,6000.0,0.05,3.5,1,1,2.451,82.748,78.0,5.72,15.470588235294118,4.310160427807487,0.7379679144385026,22096.25668449198,40.096256684491976,0
SHP-2024-0003,2024-01-04,0,Consumer Goods,India,UK,Europe,45000,2250.0,0.05,1.8,1,1,2.451,82.748,78.0,5.72,13.973544973544973,4.185185185185185,0.6243386243386243,12507.936507936507,40.08465608465608,0
SHP-2024-0004,2024-01-05,1,Industrial Equipment,Germany,India,Asia-Pacific,250000,12500.0,0.05,4.2,1,1,2.451,82.748,78.0,5.72,15.470588235294118,4.310160427807487,0.7379679144385026,22096.25668449198,40.096256684491976,1
SHP-2024-0005,2024-01-06,0,Electronics,India,Japan,Asia-Pacific,95000,4750.0,0.05,2.5,1,1,2.451,82.748,78.0,5.72,15.470588235294118,4.310160427807487,0.7379679144385026,22096.25668449198,40.096256684491976,0
SHP-2024-0006,2024-01-07,1,Consumer Goods,Vietnam,India,Asia-Pacific,60000,3000.0,0.05,2.0,1,1,2.451,82.748,78.0,5.72,15.470588235294118,4.310160427807487,0.7379679144385026,22096.25668449198,40.096256684491976,0
SHP-2024-0007,2024-01-08,0,Textiles,India,UAE,Other,75000,3750.0,0.05,1.5,1,1,2.451,82.748,78.0,5.72,14.824941087546131,4.293797923209689,0.6607150941184555,20499.70063783089,40.08485747834488,0
SHP-2024-0008,2024-01-09,1,Electronics,South Korea,India,Asia-Pacific,180000,9000.0,0.05,3.8,1,1,2.451,82.748,78.0,5.72,15.470588235294118,4.310160427807487,0.7379679144385026,22096.25668449198,40.096256684491976,0
SHP-2024-0010,2024-01-11,1,Textiles,Bangladesh,India,Asia-Pacific,90000,4500.0,0.05,2.7,1,1,2.451,82.748,78.0,5.72,15.470588235294118,4.310160427807487,0.7379679144385026,22096.25668449198,40.096256684491976,0
SHP-2024-0011,2024-01-12,0,Consumer Goods,India,Australia,Asia-Pacific,55000,2750.0,0.05,3.1,1,1,2.451,82.748,78.0,5.72,15.470588235294118,4.310160427807487,0.7379679144385026,22096.25668449198,40.096256684491976,1
