supplier_id,shipments,avg_lead_time_days,std_lead_time_days,avg_quality_score,avg_reliability_index,high_risk_rate
SUP_114,49,4.310377748895351,1.5215953103393394,82.1531018538515,0.8594069345691041,0.7755102040816326
SUP_136,47,4.48569016228125,1.613674883765037,82.47435241788621,0.8428236684799161,0.7446808510638298
SUP_138,38,4.089771220109909,1.4833427060663453,79.52927844799216,0.8367883449299042,0.7368421052631579
SUP_139,47,4.429194402721192,1.6142024666138217,83.7292581073165,0.8420020270842677,0.723404255319149
SUP_127,54,4.406405714958173,1.3399655965260673,81.48853142792174,0.8425303584202766,0.7222222222222222
SUP_148,43,4.126039608379492,1.3134721356206651,82.80696618012779,0.8490595863927622,0.7209302325581395
SUP_132,50,4.619785843312748,1.3502685941244712,81.34470186086428,0.8455669096785755,0.72
SUP_106,72,4.487853236524963,1.404878235668833,81.89315097444961,0.8379186098776817,0.6944444444444444
SUP_129,39,4.665397885315644,1.3167214974621004,80.3025202541313,0.8463262658250963,0.6923076923076923
SUP_142,52,4.612437760429934,1.5677957706355068,79.69260203792106,0.8438624788898458,0.6923076923076923
SUP_121,58,4.491804274446297,1.3420892780950355,83.08084075504148,0.8568485668490768,0.6896551724137931
SUP_147,51,4.4945681496780345,1.4760737852788623,82.59346123089394,0.8512148756301938,0.6862745098039216
SUP_146,53,4.634601011551624,1.4703805200059903,82.2827086717833,0.8616768640400425,0.6792452830188679
SUP_122,61,4.475084852104595,1.544428203021009,81.93574245839194,0.8429322112828788,0.6721311475409836
SUP_134,39,4.292968784252547,1.5503831753061463,84.10908742509547,0.8554350701552007,0.6666666666666666
SUP_118,45,4.142440988078558,1.2496717404678224,82.43614098707407,0.8359511884898303,0.6666666666666666
SUP_145,56,4.526905732650369,1.3633064735070555,82.31970758031794,0.8689735202960421,0.6607142857142857
SUP_124,56,4.438140039386346,1.4793399863924652,81.48395783578158,0.8402706313547663,0.6607142857142857
SUP_109,47,4.544861829727384,1.5084722560552957,82.73030470293276,0.8572729469034253,0.6595744680851063
SUP_112,41,4.226227297944476,1.4059932195593676,82.7467442633346,0.852677505512113,0.6585365853658537
SUP_140,48,4.327691311957362,1.3492259175222754,83.49186638391045,0.8550914182177437,0.6458333333333334
SUP_123,42,4.444252095720489,1.3979611027056915,84.02325256128759,0.8565959412284676,0.6428571428571429
SUP_100,50,4.3308809090257565,1.3651742051677838,83.55173195088354,0.8315058713143499,0.64
SUP_102,47,4.272765920672402,1.4338519649896826,81.84434473517283,0.8476622150797118,0.6382978723404256
SUP_101,52,4.749741589888706,1.3248863807970408,83.33245103440065,0.8548848713570685,0.6346153846153846
SUP_105,41,4.354655145254596,1.3760666867154259,84.98121138982471,0.8537887689360202,0.6341463414634146
SUP_128,41,4.176325023197415,1.5531797280122812,83.65787478814006,0.8736699811287272,0.6341463414634146
SUP_104,48,4.460812722535263,1.363142875871207,83.58700650372344,0.8461290436263037,0.625
SUP_110,45,4.443164371167605,1.549439980691201,84.36730007402844,0.8490655997028723,0.6222222222222222
SUP_137,37,4.415840596706119,1.383466071401816,82.5988075322252,0.8538169127402663,0.6216216216216216
SUP_117,44,4.483468524693032,1.5359825730810477,83.65759648735035,0.8537270860873748,0.6136363636363636
SUP_150,44,4.355353346434835,1.372734243318749,83.6696491866969,0.8485401333864634,0.6136363636363636
SUP_116,49,4.587577909392186,1.5186698843796216,81.07355948069436,0.849649743124516,0.6122448979591837
SUP_111,54,4.449854998051707,1.474086327358112,81.5190325407784,0.837798873194547,0.5925925925925926
SUP_141,49,4.597341760972033,1.4612180274788167,83.40215588188995,0.8617270554869565,0.5918367346938775
SUP_107,51,4.274469478878426,1.505646100220802,83.27068022390465,0.8599420810485997,0.5882352941176471
SUP_135,60,4.791747766739596,1.60349283662428,83.44559448420415,0.8445195427392924,0.5833333333333334
SUP_149,55,4.778271243673336,1.4455456034236542,83.80057067376173,0.8498791328270769,0.5818181818181818
SUP_125,55,4.412860511083835,1.54962952155823,83.4230208526743,0.8424010674536067,0.5818181818181818
SUP_126,62,4.440670044810357,1.4460425249688278,81.96027289364356,0.848910467911315,0.5806451612903226
SUP_133,40,4.483322213337494,1.61968718458228,83.64006249971955,0.8577192927908482,0.575
SUP_115,47,4.6819477862443,1.3083967086991626,82.01898771369176,0.8569134198447476,0.574468085106383
SUP_119,42,4.308397343875559,1.3025849155524225,81.46948119427995,0.856796497071319,0.5714285714285714
SUP_130,52,4.340746033325702,1.414123323423332,81.22463835964756,0.8425184363949278,0.5576923076923077
SUP_113,40,4.669641106337954,1.5005460871663807,79.95935032635587,0.8382345089439532,0.55
SUP_120,57,4.43818402627717,1.4007467629144124,82.61439952061974,0.858626983098805,0.543859649122807
SUP_143,47,4.9211436599724525,1.512525938990288,84.33708018948744,0.8684465160164336,0.5319148936170213
SUP_131,44,4.068190129125906,1.3760580224001664,81.94199079227886,0.8550368106208477,0.5227272727272727
SUP_108,31,4.150409557017629,1.5498822106952441,82.96106111094457,0.8779201767500049,0.5161290322580645
SUP_144,53,4.169562101129315,1.3870360914663462,81.93043029457168,0.8433799780091006,0.5094339622641509
SUP_103,53,4.31387322301487,1.4140538933376123,83.30176470636354,0.8720135197728487,0.49056603773584906
