,count,mean,std,min,25%,50%,75%,max
temperature_C,2478.0,70.18868066220806,5.0148295083325864,54.529041823779885,66.75267340046948,70.16081088597312,73.5228181739476,89.79190628182926
vibration_level,2478.0,39.926044448811126,11.681591279222497,20.033496780310767,29.939931662679715,39.76520623040112,50.16895908981856,59.99637409300711
machine_runtime_hours,2478.0,123.60415941742997,42.93432606470456,50.01178208739548,87.3489588134794,122.688757563296,160.53478052171204,199.79912023076028
inventory_level_units,2478.0,892.3046811945117,345.7905215099564,300.0,593.25,890.0,1181.0,1498.0
pending_orders,2478.0,350.6977401129943,144.29960954288393,100.0,225.25,351.5,472.0,599.0
supplier_lead_time_days,2478.0,4.444702051007965,1.4450528428194251,2.000081354822844,3.180216533672707,4.42816945166844,5.688964854351312,6.995119536762843
supplier_quality_score,2478.0,82.55628082041065,7.221507613625426,70.00890347166668,76.30215754897029,82.58129604358919,88.84115490201565,94.98970718774667
supplier_reliability_index,2478.0,0.8508997643404385,0.08561284127545998,0.7002209231978718,0.7775172700968309,0.8506513366883036,0.9239670580962984,0.9999027996830192
fuel_price_index,2478.0,1.1977233969489085,0.17282706874738538,0.900049224978828,1.0524048476535297,1.193302737178958,1.3474408786930128,1.499455141814645
port_delay_days,2478.0,2.4895916137331993,1.464833852239468,0.0019321417946038,1.1963705534453153,2.4956137070119646,3.7748162591788468,4.997514148897764
market_demand_index,2478.0,0.7011320934503658,0.17426342916919732,0.4005595479397575,0.5516484015919639,0.6968174070865885,0.8539258569844135,0.999768300389316
weather_disruption_score,2478.0,4.970562159363403,2.935925556385365,0.0018787343730231,2.4265851885233984,4.8757041260644876,7.541819315169485,9.995528541691993
risk_probability,2478.0,0.7848119523645629,0.26404726516727056,0.0732859260722961,0.5723931534535548,0.951154474867392,1.0,1.0
